,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237
0,2.8543012010281017,1.9884929424494389,2.8643451469347276,3.054224351353141,0.07918745238307645,3.273933572078545,3.2448748771600435,-1.154910001342711,2.832771273575502,3.607982804719275,3.33364390826134,3.2779578575837034,3.4092501721895125,3.134307632905803,-0.39794189782232436,1.643846424645123,3.1346932936000473,3.1467829179717954,3.344375336275097,2.9911101403472324,0.6927903847821775,-2.2076127859234616,3.338858711561775,-0.7485577724592924,3.3412397471523274,2.9822734800921546,3.4836659183224086,1.2894074787782541,3.277153000482672,2.8188874885827038,3.096563188438667,-2.0761527927549377,2.8435027015892587,2.5888492683940587,0.3804219903004904,2.7776217942985535,3.220108753447045,2.9863313013098565,2.9018548414140626,0.691549563418087,3.332771979735222,2.568208037323848,0.6902919741977247,2.674734228216658,3.1099942413121346,2.6232569094631675,0.6927903847821775,3.4702180975926695,3.273933572078545,2.94813412472339,2.82737202385608,2.775257526564273,-3.1462606121455003,0.6919687598248743,0.3979444001042032,2.981854283685367,0.382970704453758,0.37785650829095196,3.1766632378476003,3.3215039803207773,3.5798966454645207,3.197623058186969,3.0155912105036156,3.4896855787238756,2.9984544613941475,2.8556426295298216,1.0077410291296751,3.0993298847234634,3.2216681640802936,2.4487035256769003,3.0866533853822133,3.006067068141406,2.688416798934198,3.0136796748886656,3.2190523785019405,3.3022712491773722,-3.1170007029517404,-2.2358330880283885,0.9420445682579561,3.2006077366032955,3.125202686950381,2.9840005692881184,3.072199493276184,3.0827800105834977,1.1221648803263593,3.058047422583042,2.3729128153297414,0.204124749461988,2.934501857574664,3.285788446462492,2.0819402054504823,3.373098674068168,3.3083579810039248,3.0648384043729977,3.0561358869680912,2.9106747338128693,2.999728818470781,2.8128678281812367,3.068460261327641,3.1322619544406805,-0.8538766777005544,1.8553561636537657,2.8233812740634643,3.112777705453203,3.153506828336665,-1.2410800147219256,2.819541434977292,3.068191975627297,3.0870725817890006,3.2590604835657286,2.892045645495238,3.0670685292571065,0.6902919741977247,3.3376178901976843,-2.7184622950908386,2.986767265572915,2.7566284382466413,2.6795801386791203,0.4771222174182044,0.6902919741977247,3.093092242190467,3.1972877010615397,2.6700392284606393,3.3409882293082545,2.0792070448782285,1.0319202778731713,3.13405611506173,-3.095068346948625,3.137493525597387,1.423282043249873,2.5640160732559742,3.1681954704304953,3.3764019417536533,3.060663208161395,3.2889575712978045,-0.45592514480915547,3.5703054316772254,2.68484524554837,2.2947913729608445,2.940353839413416,-0.39794189782232436,1.0178855821739297,3.2933675174972077,2.0899049371794427,3.0263561742299157,2.8904191634369027,3.5314710765524424,3.0307493525730473,3.093930635004042,2.912284448014933,3.070573011217849,2.869224593109733,2.9536004458678975,3.07114311833108,2.769589991144507,3.2035756471633503,3.1157288481569863,3.2410518059301423,3.092639510071137,2.861964111344175,-3.1243114882861125,2.949391713943752,3.2043972721206533,0.6927903847821775,1.0034484579241723,-2.19728378646022,2.918823911960816,-0.5986028338233091,3.3263163550706962,3.278645339690835,2.97033476642685,2.736909439271363,3.022834924412902,0.40654631037148037,1.617470586730061,3.1123920447589586,3.6866408184888604,3.214055557333035,3.089252403104295,3.5321250229470307,-1.928696264703408,3.4853091682370154,2.629276569864634,3.1003694918122964,2.324286032142405,0.3732788835288334,3.1745672558136633,3.1958959689910054,-1.3439005093787353,3.08729056392053,2.487890005783385,0.8810766428547989,3.3008124456817516,2.5168816292768006,3.055263958441974,0.9441405502918931,3.1751038272143512,-0.39794189782232436,3.256478233699918,3.23654125259311,2.5570909486158464,3.1202394014940182,3.1967343618045803,0.07918745238307645,3.1404111325886275,1.0120168324789063,0.44715805826104194,3.12384449059239,2.920651608294409,3.553269289705386,1.3010276031744004,3.1841920053135016,3.620659304060526,3.163886131368721,2.9086122874914753,3.2041122185640383,3.1359005792515946,2.984084408569476,2.8051043107275344,2.941058089376819,3.214843646577795,2.3010290154938406,3.2180127714131075,3.229163395833652,-3.1243114882861125,3.1872437551549138,1.958444944010919,3.1919387549109324,0.9313634438130136,1.7330514200094784,3.046880030306226,1.6627605665193699,0.6902919741977247,3.0019924790674333,2.176091718414929,3.6186806970204897,-0.06048879035847987,2.9905400332340015
1,[3.0687654],[2.4652116],[2.9362788],[3.2584567],[-0.06515891],[2.9943888],[2.939898],[-1.3577708],[2.8678818],[3.218487],[2.931096],[2.9997861],[3.230566],[2.9769886],[-0.16334875],[1.6274062],[3.1983817],[3.029694],[3.2603412],[3.2465272],[0.70233434],[-2.2120855],[3.1806886],[-0.45046216],[3.1806886],[2.6390285],[3.2029445],[1.2731314],[3.0653968],[2.8379242],[3.1891763],[-2.2116873],[2.9232788],[2.6265066],[0.78734],[3.2087135],[2.5149758],[2.909625],[2.9029472],[0.9568247],[3.2639594],[2.3066673],[-0.13294084],[3.0497503],[2.9531505],[2.943241],[0.8059215],[3.2582917],[3.1843352],[2.9870288],[3.0398555],[2.998627],[-2.299855],[0.85908943],[0.38367158],[3.1800418],[0.4495601],[0.49324924],[2.929926],[3.2655492],[3.2356732],[3.2621937],[3.1929102],[2.9429464],[3.1049523],[2.9172628],[1.3183395],[3.155329],[2.5149758],[2.9512804],[3.1605036],[2.9495404],[2.6949854],[2.9339406],[3.1786132],[2.7886508],[-2.3062203],[-2.2336814],[1.383724],[3.252678],[3.2340999],[3.2280614],[3.2167172],[3.005295],[0.9139369],[3.1397462],[2.589407],[0.68972546],[2.9568236],[3.2628765],[2.1056168],[3.1700656],[3.209813],[3.0897355],[2.9205344],[3.0089393],[3.1760733],[2.9839215],[2.3441226],[3.1631212],[-0.7723678],[2.0151122],[2.8863835],[3.2379353],[2.9207327],[-2.3048828],[2.932023],[3.06485],[3.1285892],[3.0126793],[3.2080479],[2.8666537],[1.5228621],[3.2581427],[-2.2774851],[2.8945515],[2.857813],[2.716405],[2.4648228],[1.1360567],[3.277383],[3.2734935],[2.660647],[3.2642953],[2.0873282],[1.1146574],[3.2349856],[-2.2878082],[2.927192],[1.3826607],[2.4420764],[2.970786],[3.173455],[2.9896734],[3.1521282],[-0.6148513],[3.2957902],[2.7025654],[2.5893762],[3.258205],[2.6575384],[1.4120136],[2.9520617],[2.8615878],[3.2676282],[3.283312],[3.3115332],[3.2665737],[3.1700115],[3.0193675],[3.1046948],[2.9439654],[2.982458],[3.2436204],[2.787883],[3.2727993],[3.0292616],[3.2368093],[3.161825],[3.0148306],[-2.2603557],[2.8617992],[3.2702987],[0.5761724],[1.2707492],[-2.2034824],[2.9679928],[-0.5547181],[3.2515619],[3.259441],[3.0951943],[3.2561083],[3.0917912],[0.1715353],[1.7865874],[3.1472554],[3.2293897],[2.5277228],[3.2793772],[3.2939122],[-2.0119035],[3.2860165],[3.0208588],[2.7822025],[3.116262],[0.14307038],[3.1654334],[2.9343174],[-2.3048828],[3.2613413],[2.9188526],[1.0120529],[3.1877358],[2.7078793],[3.0961366],[1.3953749],[3.0092638],[-0.15475161],[3.2399824],[3.2300508],[2.2462957],[3.1310468],[3.2494938],[0.3171119],[3.203238],[1.4229721],[0.49180967],[3.1585784],[3.0047498],[3.31059],[1.5863583],[3.0238194],[3.2846413],[3.2780957],[3.0370371],[3.1782446],[3.1246245],[3.1964653],[2.7092206],[3.2047055],[2.5277228],[2.8540921],[3.2440195],[3.2156653],[-2.2990859],[3.2179015],[2.4252992],[2.9888458],[0.67735654],[1.7137471],[3.015887],[1.9063301],[-0.04842646],[3.1572819],[2.5025308],[3.2846413],[-0.01017863],[3.0276718]
2,3.2794334289355955,2.9095680552989505,2.9880248547932773,1.207664179454714,3.2289286458458513,3.1152761160376556,3.0203532816847205,0.6087834248619859,-3.0475314744189355,-0.35654206068800187,2.791438507866266,3.297106749445751,-2.8866606613502093,-2.9012822320189526,3.000869032697243,3.2791148396664367,3.2314773599991184,2.8383382018576384,-3.109689917617369,3.1072107771710664,1.9530121585789546,-0.39794189782232436,3.2962180530633622,-1.482805430731803,0.3804219903004904,-0.30102368857308104,-1.4168071484471967,2.830339934416135,2.8638756469591256,3.0358300130233107,2.7714009196218288,0.17608889377604808,3.3222249981404515,2.7600155452134834,-0.40560480813839783,-2.210748375046231,3.0813547428004204,3.5921707162552554,3.0936455814474266,3.0457062803672215,0.188279125285425,-1.358522080047479,-3.0804467762798806,-1.7166331864378055,0.9028245524389285,1.5682066250044076,2.697236691333005,2.99298814024964,2.9458033927016523,3.382019173604604,-0.39794189782232436,3.2193206642022845,-1.524322642860025,-0.6197806362942075,3.3729309955054534,2.720158350856139,1.3397110475927403,2.881146538918766,2.8727458429267467,3.06408385084078,0.04139270434712561,2.7283578325729003,3.3780284238119878,2.515875557900511,-1.4826377521690879,1.9890127459938551,-1.749548488298751,3.5578636823237755,3.062574743776346,3.2789303932474505,3.140645882576428,3.1322619544406805,1.016913046510183,2.87849721762787,2.122568721196316,2.1553331123508177,3.291305071175814,3.212160789574356,3.038999137858623,3.341709247127929,2.984520372832535,3.1566759531719777,1.9956360492210958,3.20682861128002,2.726731350514565,2.354116048449395,2.9498779817756255,3.206342343448147,3.1003694918122964,0.8506429837220348,-0.08460096767689018,3.300376481418693,2.9745770340635382,0.3855026507507535,3.245277305710559,3.0285695312577534,3.008599014438402,3.335203318894589,2.9326909290973426,3.1367222042088985,-0.12494442986610821,3.4369506707500226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,[2.3370185],[3.2809787],[3.2648423],[1.209366],[3.239289],[2.925204],[3.153169],[-0.09994037],[-0.026352],[0.31335622],[2.9954484],[3.2108104],[-0.4386819],[-0.3857866],[3.2606702],[2.9761946],[3.1494732],[2.999406],[-0.4636417],[2.775229],[0.8637909],[2.5326939],[2.9779906],[-0.04758174],[0.82811457],[0.19176106],[-0.1679023],[2.5185363],[3.1269567],[3.1018014],[2.8094554],[0.1962791],[2.5149758],[3.0952244],[2.6565773],[0.57429355],[2.9949],[3.2424145],[3.2084665],[3.2469683],[0.52003187],[-2.3048828],[-0.19775303],[-0.39045292],[0.36974996],[2.5941758],[2.6741533],[3.066414],[3.092481],[3.1101286],[2.7961645],[2.7359903],[0.86910087],[2.6713817],[3.258489],[3.056297],[0.32810253],[3.0416145],[3.1236982],[2.8666537],[0.54158026],[3.2165112],[3.1763506],[2.589137],[-0.45315534],[2.6032872],[0.0691952],[3.2854671],[3.1542816],[2.997378],[2.974845],[3.1550975],[0.6224875],[2.9892461],[0.485377],[2.9936016],[3.0022037],[3.014741],[3.1409402],[3.2324963],[2.5440035],[3.0081139],[0.40026683],[2.8365774],[2.831099],[2.9750907],[3.0586848],[2.2153406],[3.2664034],[2.8087564],[1.1130347],[2.6043632],[3.1358676],[1.0098338],[2.9148307],[2.847731],[2.418877],[3.2604995],[3.241287],[2.8559496],[0.53961676],[3.2602432],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
